date,kcal,protein_g,carbs_g,fat_g,fiber_g,sugar_g
2025-05-06,333.19,8.17,54.55,7.43,4.13,6.6
2025-05-07,555.42,13.62,90.94,12.39,6.89,11.0
2025-05-09,553.11,13.29,120.51,1.7,0.0,0.77
2025-05-13,723.48,57.01,95.94,12.35,0.43,7.45
2025-05-19,395.23,9.49,86.11,1.21,0.0,0.55
2025-05-21,333.19,8.17,54.55,7.43,4.13,6.6
2025-05-26,395.23,9.49,86.11,1.21,0.0,0.55
2025-05-27,463.44,64.37,21.04,12.15,2.34,19.91
2025-05-28,940.87,130.68,42.72,24.67,4.75,40.42
2025-05-30,940.87,130.68,42.72,24.67,4.75,40.42
2025-05-31,9830.44,1365.37,446.33,257.8,49.68,422.3
2025-06-01,12639.07,1755.47,573.85,331.46,63.87,542.95
2025-06-02,267.31,20.67,10.61,14.74,3.67,9.72
2025-06-05,12639.07,1755.47,573.85,331.46,63.87,542.95
2025-06-07,12165.43,1663.53,541.82,334.66,65.28,509.51
2025-06-09,397.28,54.09,11.87,13.44,2.25,9.22
2025-06-10,595.91,81.13,17.8,20.16,3.38,13.83
2025-06-16,333.19,8.17,54.55,7.43,4.13,6.6
2025-07-04,333.19,8.17,54.55,7.43,4.13,6.6
2025-07-08,11449.11,1542.1,549.35,304.42,76.29,491.61
2025-07-09,804.6,73.03,54.7,32.38,0.0,2.4
2025-07-10,13347.89,1816.51,641.51,342.23,98.47,579.61
2025-07-29,8523.29,1142.0,449.78,215.09,41.23,351.01
2025-07-31,11422.88,1586.55,518.64,299.56,57.72,490.71
2025-08-03,11422.88,1586.55,518.64,299.56,57.72,490.71
2025-08-04,11422.88,1586.55,518.64,299.56,57.72,490.71
2025-08-05,11422.88,1586.55,518.64,299.56,57.72,490.71
2025-08-06,11422.88,1586.55,518.64,299.56,57.72,490.71
2025-08-11,424.59,10.2,92.51,1.3,0.0,0.59
2025-08-12,123.04,2.73,7.63,8.77,1.56,6.92
2025-08-21,661.39,25.75,88.97,20.83,7.05,6.1
2025-08-24,853.57,57.17,75.05,33.73,8.65,3.63
2025-08-27,672.82,47.07,57.72,26.43,6.5,2.94
2025-09-05,1030.05,50.47,115.66,39.47,4.0,26.93
2025-09-06,500.04,69.45,22.7,13.11,2.53,21.48
2025-09-07,437.57,60.77,19.87,11.48,2.21,18.8
2025-09-09,1047.91,99.17,74.75,36.27,8.4,19.05
2025-09-10,1081.22,125.7,76.66,27.68,6.71,32.77
2025-09-11,910.9,88.16,84.57,22.84,6.56,17.69
2025-09-16,672.82,47.07,57.72,26.43,6.5,2.94
2025-09-17,850.16,82.28,78.93,21.32,6.12,16.51
2025-09-20,1467.58,95.29,140.53,56.61,16.86,48.95
2025-09-25,740.2,53.52,89.12,16.67,8.13,42.09
2025-09-26,586.53,39.25,65.16,16.41,8.89,25.61
2025-09-27,1026.43,68.68,114.03,28.73,15.56,44.82
2025-09-29,586.53,39.25,65.16,16.41,8.89,25.61
2025-10-02,672.82,47.07,57.72,26.43,6.5,2.94
2025-11-09,596.19,60.11,66.61,10.84,6.39,17.76
2025-11-11,596.19,60.11,66.61,10.84,6.39,17.76
2025-11-13,596.19,60.11,66.61,10.84,6.39,17.76
2026-03-23,663.5,42.08,40.74,31.92,15.72,40.05
2026-04-20,461.37,44.12,10.27,25.93,1.25,6.37
2026-05-16,701.61,55.04,80.07,17.0,8.8,12.97
2026-05-18,1278.7,108.58,141.68,28.62,8.99,24.69
2026-05-19,797.92,59.54,73.07,24.38,12.24,27.98
2026-05-20,539.27,45.49,51.11,14.76,8.49,16.29
2026-05-21,539.27,45.49,51.11,14.76,8.49,16.29
2026-05-26,637.49,54.45,58.22,17.52,8.49,18.58
2026-05-27,637.49,54.45,58.22,17.52,8.49,18.58
2026-05-28,637.49,54.45,58.22,17.52,8.49,18.58
2026-05-29,637.49,54.45,58.22,17.52,8.49,18.58
2026-06-01,1789.08,138.77,185.46,49.97,16.27,50.7
2026-06-02,1840.76,141.54,189.01,52.83,16.31,53.25
2026-06-03,1266.65,87.26,102.52,54.7,17.22,23.15
2026-06-04,686.89,53.39,61.26,22.93,8.6,23.59
2026-06-05,539.27,45.49,51.11,14.76,8.49,16.29
2026-06-06,1078.54,90.99,102.21,29.52,16.97,32.58
2026-06-07,539.27,45.49,51.11,14.76,8.49,16.29
2026-06-08,1156.42,116.09,46.31,53.09,17.77,38.7
2026-06-09,511.79,37.99,49.13,12.8,17.22,24.06
2026-06-10,1205.34,139.38,65.52,41.75,11.54,26.17
2026-06-11,670.72,47.63,35.8,33.41,15.55,31.5
2026-06-12,511.79,37.99,49.13,12.8,17.22,24.06
2026-06-14,482.15,24.44,47.74,15.62,21.41,22.6
2026-06-15,792.3,57.33,52.2,35.88,13.33,19.93
2026-06-16,792.3,57.33,52.2,35.88,13.33,19.93
2026-06-17,792.3,57.33,52.2,35.88,13.33,19.93
2026-06-18,792.3,57.33,52.2,35.88,13.33,19.93
2026-06-19,1301.07,107.93,112.22,41.91,22.4,28.97
2026-06-20,896.3,72.63,115.51,14.42,16.14,13.38
2026-06-22,727.38,41.77,51.41,39.94,8.73,6.86
2026-06-23,389.73,52.84,2.57,18.37,0.63,0.89
2026-06-24,682.3,62.81,25.67,38.28,3.96,9.58
2026-06-25,682.3,62.81,25.67,38.28,3.96,9.58
2026-06-26,389.73,52.84,2.57,18.37,0.63,0.89
2026-06-28,341.76,35.65,6.85,17.67,6.0,6.85
2026-06-29,1064.69,99.01,66.79,39.61,15.99,27.15
2026-06-30,637.49,54.45,58.22,17.52,8.49,18.58
2026-07-01,1416.0,92.39,147.82,45.02,15.39,35.07
2026-07-02,2211.37,131.15,239.36,73.1,22.43,51.9
2026-07-03,637.49,54.45,58.22,17.52,8.49,18.58
2026-07-05,1368.66,93.27,170.98,31.02,17.33,24.0
2026-07-06,962.86,85.95,90.82,21.98,27.02,24.37
2026-07-07,1689.21,99.64,190.37,47.68,34.21,45.14
